model,roc_auc_split0,ci95_low,ci95_high,n_bootstrap
Logistic Regression,0.8701851851851852,0.8104637281910009,0.9221214430263451,1000
Random Forest,0.8583333333333334,0.7964549927113702,0.9129533798112517,1000
SVM (RBF),0.8548148148148147,0.7883450990629461,0.9168127843504027,1000
KNN,0.7935185185185185,0.7140905747692786,0.8642747332248145,1000
