model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
KNN,0.7285714285714285,0.0329189398847704,0.6255984504834021,0.057000368475434215,0.5740740740740741,0.08685955110784128,0.5954564031522784,0.05835904253166909,0.7784259259259259,0.023425010961490564
Logistic Regression,0.7480519480519481,0.01801874925391121,0.6935366718683501,0.05588835478555621,0.5185185185185185,0.04536092116265144,0.5904116456744337,0.016543930470280556,0.8243703703703703,0.030740908076296043
Majority (baseline),0.6493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Random Forest,0.7428571428571429,0.023681276011442206,0.6559678416821274,0.059057397295281616,0.5851851851851853,0.07002840889329272,0.6141004707266843,0.02517919919904778,0.8231851851851852,0.02452337145662178
SVM (RBF),0.7363636363636363,0.0351490093577256,0.675213507252981,0.07889400100255979,0.5037037037037038,0.06854353897526572,0.5719110013564246,0.04569087246454356,0.8052962962962962,0.059195654522973956
