feature,mean,std
Glucose,0.16786074883881338,0.017826883593722528
BMI,0.037792320821763904,0.019818961344596396
Age,0.012008544045534942,0.014580642650511648
Insulin,0.004788743808027333,0.0063493219065510805
Pregnancies,-0.001724035775407172,0.016974458170992458
DiabetesPedigreeFunction,-0.003588421639151229,0.008197382718380348
SkinThickness,-0.005791880624844005,0.014729583323632639
BloodPressure,-0.00971753222193987,0.011370661380615023
