model,split_seed,feature,importance_mean,importance_std
SVM (RBF),1,SkinThickness,0.0020198563185777323,0.008201568998288462
SVM (RBF),1,Insulin,-0.008238137243583831,0.017150026544991332
SVM (RBF),1,BMI,0.05693148730655178,0.04032992591081392
SVM (RBF),1,DiabetesPedigreeFunction,-0.01333210261050956,0.02611536086971268
SVM (RBF),1,Age,0.006951269974000929,0.017896541677686867
Random Forest,1,Pregnancies,-0.006218574403846851,0.02008736396613007
Random Forest,1,Glucose,0.11690641867341782,0.05004209358921199
Random Forest,1,BloodPressure,-0.001026129677024242,0.02015792223036907
Random Forest,1,SkinThickness,0.008569181082884092,0.011922044793921525
Random Forest,1,Insulin,-0.008147179916220937,0.023429183092129494
Random Forest,1,BMI,0.03449583113592967,0.04420153233067416
Random Forest,1,DiabetesPedigreeFunction,-0.026822429599693172,0.032163675930552776
Random Forest,1,Age,-0.017792250935526048,0.023806932536707695
KNN,1,Pregnancies,0.03610454220063606,0.033467430942408234
KNN,1,Glucose,0.18017163913804912,0.05481914869760247
KNN,1,BloodPressure,0.04743410972673761,0.031049005647434864
KNN,1,SkinThickness,0.04615329524459422,0.0256225331598853
KNN,1,Insulin,0.014197646622592397,0.016651858005888157
KNN,1,BMI,0.08235482819783933,0.03368206279518523
KNN,1,DiabetesPedigreeFunction,0.050801251771786404,0.028686416751413205
KNN,1,Age,0.10143610690808286,0.04014551192079554
Logistic Regression,2,Pregnancies,-0.009679784522540525,0.027017816976717263
Logistic Regression,2,Glucose,0.21285338653493238,0.05632577918925308
Logistic Regression,2,BloodPressure,-0.0019439960104220074,0.01379233558269413
Logistic Regression,2,SkinThickness,-0.01804470656449164,0.0135332858125508
Logistic Regression,2,Insulin,0.003754380118559005,0.013249090238612999
Logistic Regression,2,BMI,0.011725526167646608,0.035510029929259085
Logistic Regression,2,DiabetesPedigreeFunction,0.001148542599617312,0.02021893049689102
Logistic Regression,2,Age,-0.007578349312369392,0.013640732123245958
SVM (RBF),2,Pregnancies,-0.0013189258279560153,0.02508256070801831
SVM (RBF),2,Glucose,0.20064619984537216,0.0573423831810848
SVM (RBF),2,BloodPressure,-0.005128468922987572,0.013270693139167532
SVM (RBF),2,SkinThickness,-0.02483315495768918,0.012902579735212638
SVM (RBF),2,Insulin,0.001381645352019001,0.011652238833178388
SVM (RBF),2,BMI,-0.010454759224493,0.03570833254933546
SVM (RBF),2,DiabetesPedigreeFunction,-0.005650111588533627,0.029875299086879945
SVM (RBF),2,Age,-0.016438748262970527,0.012541804166656694
Random Forest,2,Pregnancies,-0.019509794118910306,0.028789797838394506
Random Forest,2,Glucose,0.15658465758005022,0.0495679067302943
Random Forest,2,BloodPressure,-0.027929910847898965,0.01619756521802829
Random Forest,2,SkinThickness,-0.022209793622101574,0.021412138109271485
Random Forest,2,Insulin,0.01776948623295412,0.020095199743093196
Random Forest,2,BMI,0.023798931173897437,0.040115861518680976
Random Forest,2,DiabetesPedigreeFunction,0.001480541594395357,0.022664409006368156
Random Forest,2,Age,0.006548568829797977,0.02000416752938816
KNN,2,Pregnancies,-0.029693905993449652,0.03003843130927671
KNN,2,Glucose,0.1372315160535259,0.037797781442570816
KNN,2,BloodPressure,-0.014126994479873351,0.028289380903785993
KNN,2,SkinThickness,-0.021917894665247746,0.03350425002971321
KNN,2,Insulin,-0.010750080398969814,0.02019382391830354
KNN,2,BMI,0.014918737858872778,0.03454050100509823
KNN,2,DiabetesPedigreeFunction,-0.016331851608352065,0.0382729720693987
KNN,2,Age,0.01999451395964565,0.03622007682728369
Logistic Regression,3,Pregnancies,0.04099087933591628,0.0313921893615005
Logistic Regression,3,Glucose,0.2273256128821285,0.04500178100865879
