model,mean,std
Random Forest,0.7010854184652703,0.045898394372646666
Logistic Regression,0.6920851986005145,0.05019361014329858
SVM (RBF),0.6724142774856959,0.09706974613125124
KNN,0.614515081655658,0.05734561308666876
