model,mean,std
Random Forest,0.16258722885276478,0.012340281453786187
Logistic Regression,0.16506485095344545,0.013440676938383753
SVM (RBF),0.17112464395787966,0.02318314437524402
KNN,0.1833034982680139,0.014226869954758923
