,value
Glucose,0.8840339814673941
BMI,0.46829268546873615
Pregnancies,0.349834479048155
DiabetesPedigreeFunction,0.2572057166201563
Age,0.21500878746443647
SkinThickness,0.08590553055669672
Insulin,0.06072215906621994
BloodPressure,-0.017958927209872383
