,value
Glucose,0.24401429552998055
BMI,0.1662315156016822
Age,0.1360541781293912
DiabetesPedigreeFunction,0.12910995117885365
Insulin,0.08757822203352071
BloodPressure,0.08369276759303386
Pregnancies,0.08181665188760284
SkinThickness,0.07150241804593503
