model,f1_mean,f1_ci95_low,f1_ci95_high
Random Forest,0.6141004707266843,0.5828363655776256,0.6453645758757429
KNN,0.5954564031522783,0.5229940810710625,0.6679187252334942
Logistic Regression,0.5904116456744337,0.5698696428207001,0.6109536485281674
SVM (RBF),0.5719110013564246,0.5151782899706812,0.628643712742168
Majority (baseline),0.0,0.0,0.0
